user,nemo,wx,snow,us,nyc,travel,boston,nywx,emcomm,mawx,ma,snowstorm,ny,traffic,ct,njwx,mastorm,emergency,storm
MunrosTravel,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fordgal4ever,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TheHazeFMCA,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mississauga411,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATGMedia411,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FirstNewsGTA,0,31,18,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0
NicDiLullo,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
StormBriefings,0,14,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2
asharatheauthor,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OrrCast,0,14,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2
wxkristin,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
johncolucci,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
scientwest,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ErinWx14,4,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
pfmgmt,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SurfingChaos,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zak_NYCMetroWx,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WeatherFreak21,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Innovativecomp,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABQWX,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TheTadDaddy,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ginger__Brooks,6,12,2,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
LMartinHansen,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
slicknick52,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
emokidsloveme,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JohnAhrens9,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
CPHOEP,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MLKstudios,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MtnRA,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wlfpack81,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
melbo9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
twittenup,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aline_Carr,2,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0
photom8kr,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CherryBoy_1_Sav,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eshlah,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peaceful_intent,1,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
210IQMongo,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UKSnowFeed,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NationalEAS,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JW61589,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
